,Date,User,Tweet,Reply,Retweet,Like,,,,,,
0,2018/12/31 00:00,Sodapoppintv,Having internet issues...again. idk man gonna call a guy down to fix amd all that for the future hooefully. Both of our internets r down right now and when they come back up they both disconnect.. gonna try to go back live over the next few min here but stay tuned.,72,9,1142,2018/1/1,2,,,2018/1/1,2
1,2018/12/30 00:00,Kari_mxmb,Remember when Wonho ripped his pants amd tried his hardest to stay composed hdshshshsdhshs https://t.co/kIix5KPDHG,7,384,821,2018/1/2,1,,,2018/1/2,1
2,2018/12/30 00:00,amdjapan,2018Âπ¥„?ÂΩì„??º„Ç∏?´„??è„??ì„ÅÆ?Ñ„??≠„??∑„Çß?¢„??Ç„??Å„??ä„??®„??î„??Ñ„Åæ?ó„?m(__)m Âπ¥Êú´Âπ¥Â??Æ„??¨„Çº?≥„??Ñ„ÄÅ‰??á‰∏≠?Æ„Ç®?≥„Çø?º„??§„É≥?°„É≥?à„Å´?ú„Å≤AMDË£ΩÂ??í„?Ê¥ªÁî®?è„??ï„??≠???ÜÊ??ÅËâØ?ÑÂπ¥?í„?Ëøé„??è„??ï„??? https://t.co/DnPp9YOTKa,11,49,228,2018/1/3,5,,,2018/1/3,5
3,2018/12/29 00:00,NormOrnstein,"Beyond the taxpayer money, there is reputed human trafficking?îsending the immigrants out to work in meatpacking plants amd elsewhere and pocketing their earnings.",17,323,516,2018/1/4,16,,,2018/1/4,16
4,2018/12/29 00:00,LisaSu,The holidays are over and we?ôre busy getting ready for @AMD?ôs #CES2019 keynote!  So much to cover... Can?ôt wait to see you all on January 9th! ?? https://t.co/CUBYbJHWIw,57,136,989,2018/1/5,4,,,2018/1/5,4
5,2018/12/28 00:00,watch_akiba,?¥Êñ∞Ôºö„??Æ„ÄåIntel CPU?åÂÖ•?ã„Ç≠?º„??´„??º„Äç„??™„??•„Éº?¢„É´?Å„??â„Å´AMDÂØæÂ??à„??ªÂ†¥ https://t.co/YK07BpWDh0 https://t.co/bo5B9y1Aqq,0,284,398,2018/1/6,2,,,2018/1/6,2
6,2018/12/28 00:00,streamsunrise00,"?§Ô? PLEASE LIKE THIS POST ?§Ô?

I NEED MORE LIKES FOR THIS AMD A 275RTS. 

THANK YOU @HiKpopGiveaway ?§Ô??§Ô? https://t.co/DfGRR36PKK",40,246,290,2018/1/7,1,,,2018/1/7,1
7,2018/12/28 00:00,RamsByTheHorns,"On the road between Kokstad amd Mount Frere earlier today, I cannot ttell you how many times I had to veer off to the yellow lane shoulder avoiding cars overtaking on-coming traffic on a blind spot. #RoadSafety",58,85,167,2018/1/8,9,,,2018/1/8,9
8,2018/12/28 00:00,sanchana_n,"Indha pongal ku #petta sweet sapda porom?î• this man and his style habba?? stealing hearts then, now amd forever #Thalaivar #PettaPongalParaak ?§©@karthiksubbaraj enna panni vechirukinga?therikudhu trailer ?? ?§© @sunpictures 
https://t.co/F5rxAUjgIC",0,80,316,2018/1/9,5,,,2018/1/9,5
9,2018/12/28 00:00,GirIsWitchHunt,God amd Satan https://t.co/jJR7qPqbsl,24,516,1546,2018/1/10,7,,,2018/1/10,7
10,2018/12/28 00:00,taenquility,"the only reason we haven't got a woojin amd jisung vocal duet yet is because chan and jyp knows it would be too powerful, way toO mUCH",2,52,200,2018/1/11,5,,,2018/1/11,5
11,2018/12/27 00:00,GeraldCrack,Last year's DettyRave is the proper once in a lifetime thing...I mean all the relevant artist last year showed up amd we even had Obrafuor..Shattas surprise entry was mad...All for just Ghc60?..Mad!!,2,161,167,2018/1/12,3,,,2018/1/12,3
12,2018/12/27 00:00,RCdeWinter,"Caveat:
Hi friends.
This is a tough day for me.
I am not asking for pity.
Just a heads up.
Today my late son would have been 31.
I am likely to be less tolerant than usual of bullshit and snark amd a, definitely not in the mood for stupid humor.",101,41,234,2018/1/13,2,,,2018/1/13,2
13,2018/12/26 00:00,HandOfBlood,"Ho, Ho ihr Nuggets!
Da ihr sowieso alle unartig wart, k√∂nnt ihr euch gl√ºcklich sch√§tzen, dass @AMD_Deutschland so g√ºtig ist.
Wer noch einen Gaming-Laptop f√ºr 2019 sucht: Der ACER Nitro 5 ist ne saftige L√∂sung.
https://t.co/EgZcPDi7Ft
 
In dem Sinne
Frohe Weihnachten
#Werbung https://t.co/cbPthM6DVL",13,40,1416,2018/1/14,3,,,2018/1/14,3
14,2018/12/26 00:00,spcatsTASHA,?¥Î?Ï£?#?§Ïù¥Î≤?#?¨Ïä§????#AMD !! #ahri #spiralcats #?§Ì??¥Îü¥Ï∫?? #?Ä??#lol #leagueoflegends #Î°?#Î¶¨Í∑∏?§Î??àÏ???#ÏΩîÏä§?ÑÎ? #lolcosplay #game #cosplay https://t.co/RdlhI5JjuE https://t.co/ifTJU76CH3,4,47,310,2018/1/15,2,,,2018/1/15,2
15,2018/12/26 00:00,watch_akiba,?¥Êñ∞ÔºöAMD?ÆÂ•ΩË™ø„??åÁõÆÁ´ã„Å£??Âπ¥„ÄÅRyzen?ØÂ?ÂøÉËÄÖÂ±§?´„?Â∫É„???https://t.co/vOUtKcFFsq https://t.co/UxFKOSUq7W,1,97,145,2018/1/16,2,,,2018/1/16,2
16,2018/12/26 00:00,AMD_barra,Feeling lucky to have been born into a family that doesn't watch th Queens Speech on Christmas Day as a tradition ???? old boot.,14,31,553,2018/1/17,3,,,2018/1/17,3
17,2018/12/26 00:00,AMDRyzen,Wishing you all a happy holidays and a wonderful New Year from everyone at the @AMD family. https://t.co/jSfXe0KMU1,14,35,298,2018/1/18,1,,,2018/1/18,1
18,2018/12/26 00:00,Doc_Wolverine,"We're at 7 treatments for alcohol over-consumption

5 domestic incidents. 3 broken bones and 2 sets of stitches.

Amd another 4 accidents .

I'm here for another 10 hours.",43,22,194,2018/1/19,1,,,2018/1/19,1
19,2018/12/26 00:00,kim_mwenewazvo,"Just saw a boy around grade 6 or 5 drinking black label ?ò© please let's watch over our kids, little brothers amd sisters, any minor. Let's protect them and be safe????",36,29,294,2018/1/20,3,,,2018/1/20,3
20,2018/12/25 00:00,LisaSu,"Merry Christmas and Happy Holidays to all of our @AMD family, friends, fans and loved ones!! https://t.co/yKCUyXZLAJ",50,107,838,2018/1/21,0,,,2018/1/21,0
21,2018/12/25 00:00,CharlieDaniels,"JOY TO THE WORLD THE LORD HAS COME!!
From our house, from Hazel, Charlie Jr and me, from all the band, crew amd office staff at the CDB, from the cowboys at Twin Pines Ranch, let us take this opportunity to wish one and all a most Merry and joyous Christmas.",414,619,5315,2018/1/22,2,,,2018/1/22,2
22,2018/12/25 00:00,amd__silva,https://t.co/HKA4tQIpB2,0,19,239,2018/1/23,1,,,2018/1/23,1
23,2018/12/24 00:00,spcatsTASHA,?¥Î?Ï£?#?§Ïù¥Î≤?#?¨Ïä§????#AMD !! #ahri #spiralcats #?§Ì??¥Îü¥Ï∫?? #?Ä??#lol #leagueoflegends #Î°?#Î¶¨Í∑∏?§Î??àÏ???#ÏΩîÏä§?ÑÎ? #lolcosplay #game #cosplay https://t.co/RdlhI5JjuE https://t.co/TIdDxa9By8,7,33,292,2018/1/24,4,,,2018/1/24,4
24,2018/12/24 00:00,ASUS_ROG,"[GIVEAWAY]?????? 
Just stop the GIF and post your screenshot with the hashtag #ROGmas to win!

Did you get a new AMD motherboard? A cookie? Try your luck!
Thanks to @CoolerMaster and @gskillgaming for teaming up with ROG this holiday season. Winners will be announced after Xmas! https://t.co/l00i3LrDy2",3090,601,1917,2018/1/25,0,,,2018/1/25,0
